;Brand;Battery;Weight;Warranty;Back camera;Ports;Processor;OS;Hard memory;Hard disc;Video brand;Size;4G LTE;Sensor;Color;Price
Laptop Lenovo ThinkPad E490;1;3980;янв.75;1;null;1, 2, 4, 5, 6, 7;1;1;16;0;0;14;0;0;1, 2;79900
Laptop Lenovo ThinkPad L580;1;3930;2;1;null;2, 4, 5, 6, 7;2;1;16;0;0;15.июн;0;0;3;89900
Laptop Lenovo ThinkPad T490s;1;4830;янв.35;3;null;3, 8, 4, 5, 6, 7;2;1;16;0;0;14;1;0;1, 4;106900
Laptop Lenovo IdeaPad L340-17;1;3900;02.авг;1;null;2, 4, 5, 6, 7;3;1;16;1, 0;2;17.мар;0;0;3;46900
Laptop Lenovo IdeaPad L340-15 Gaming;1;3900;фев.19;1;null;2, 4, 5, 6, 7;1;1;16;0;1;15.июн;0;0;3;78000
Laptop Lenovo IdeaPad L340-17 Gaming;1;3900;фев.78;1;null;2, 4, 5, 6, 7;1;1;16;0;1;15.июн;0;0;3;77900
Laptop Lenovo IdeaPad S540-14;1;3145;янв.63;1;null;2, 4, 6, 7;2;1;16;1, 0;1;17.мар;0;0;3;82900
Ultrabook ASUS Zenbook S13 UX392FA;2;6500;01.янв;1;null;3, 4, 6, 7;1;1;12;0;1;14;0;0;1;63900
Ultrabook Lenovo ThinkPad X1 Carbon 7;1;3321;01.сен;3;null;3, 8, 5, 6, 7;4;1;12;0;2;14;0;0;1;54700
Laptop Dell G5 5590;3;3750;фев.68;1;null;3, 8, 9, 6, 7, 10;3;1;12;0;2;14;0;0;1;65900
Laptop Dell G3 3590;3;4255;фев.34;1;null;1, 2, 4, 6, 7;1;1;16;0;0;13.сен;0;0;1;93500
Laptop ASUS Zenbook Pro Duo UX581GV;4;4480;02.май;1;null;3, 8, 6, 7;1;1;16;0;0;14;1;1;3;134900
Laptop ASUS Zenbook Duo UX481FL;4;4480;01.май;1;null;3, 4, 6, 7;1;1;16;0;0;14;1;0;4;134900
Laptop Dell G3 3590;5;4255;фев.34;1;null;1, 2, 4, 6, 7;1;1;16;0;0;14;1;0;4;159900
Laptop Dell G5 5590;5;3750;фев.68;1;null;3, 4, 9, 6, 7, 10;1;1;16;0;0;14;1;0;4;166000
Laptop Dell G3 3590;5;4255;фев.34;1;null;1, 2, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;107900
Laptop Dell G5 5590;5;3750;фев.68;1;null;3, 8, 9, 6, 7, 10;1;1;16;1, 0;1;15.июн;0;0;3;107900
Ultrabook ASUS VivoBook S532FL;2;3500;01.авг;1;null;1, 2, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;93000
Laptop Lenovo ThinkBook 13s;1;2964;янв.32;1;null;3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;93000
Laptop Acer Aspire 3 A315-42;6;4810;01.сен;1;null;1, 3, 5, 6, 7;1;1;16;0;1;15.июн;0;1;1;196900
Ultrabook ASUS Zenbook UX434FLC;2;3700;янв.26;2;null;1, 3, 4, 6, 7;2;1;16;0;1;14;0;0;1;102700
Ultrabook ASUS Zenbook UX534FTC;2;4614;янв.65;1;null;3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;82900
Laptop Lenovo ThinkBook 13s;1;2964;янв.32;1;null;3, 4, 6, 7;1;1;16;0;1;15.июн;0;0;3;88900
Ultrabook ASUS Zenbook UX431FA;2;3700;янв.39;1;null;1, 3, 4, 6, 7;1;1;16;0;1;15.июн;0;0;3;87900
Ultrabook ASUS Zenbook UX434FL;2;3700;янв.26;1;null;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;98900
Ultrabook ASUS Zenbook UX434FAC;2;3700;янв.26;1;null;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;98900
Ultrabook ASUS Zenbook UX331FN;2;3160;01.фев;2;null;2, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;102000
Ultrabook ASUS Zenbook UX534FTC;2;4614;янв.65;1;null;3, 4, 6, 7;1;1;16;0;1;15.июн;0;0;3;104900
Laptop Lenovo Legion Y540-15;1;4630;02.мар;2;null;2, 4, 5, 6, 7, 10;1;1;16;1, 0;1;15.июн;0;0;3;83900
Ultrabook ASUS Zenbook Flip UX463FL;2;3830;01.апр;1;null;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;97900
Ultrabook ASUS Zenbook UX433FLC;2;3700;01.сен;1;null;1, 3, 4, 6, 7;1;1;16;0;1;15.июн;0;0;3;94900
Ultrabook ASUS Zenbook UX533FTC;2;4800;янв.65;1;null;2, 3, 4, 6, 7;1;1;16;0;1;15.июн;0;0;3;94900
Laptop ASUS Zenbook Duo UX481FL;2;4480;01.май;1;null;3, 4, 6, 7;1;1;16;1, 0;1;15.июн;0;0;3;113900
Ultrabook ASUS Zenbook Flip UX563FD;2;4550;01.сен;1;null;2, 4, 6, 8;1;1;12;0;1;15.июн;0;0;1;73900
Tablet Lenovo  TAB 4 Plus TB-8704X;1;4850;0.3;1;8;null;null;2;3;null;null;8;1;1;5;20890
Tablet Samsung  Galaxy TAB A 10.5 2018;7;7300;0.534;1;8;null;null;3;3;null;null;10.май;1;1;5;22790
Tablet Apple  iPad Pro 11;8;7812;0.468;1;12;null;null;4;4;null;null;11;0;1;1, 5, 6, 7, 8;109090
Tablet Apple  iPad Pro 12.9 2018;8;9720;0.631;1;12;null;null;4;4;null;null;12.сен;0;1;1, 5, 6, 7, 8;81290
Tablet Apple  iPad Mini 2019;8;5124;0.3;1;8;null;null;4;3;null;null;07.сен;0;1;1, 5, 6, 7, 8;32790
Tablet Apple  iPad Air 10.5 2019;8;8134;0.456;1;8;null;null;4;3;null;null;10.май;0;1;1, 5, 6, 7, 8;42090
Tablet Lenovo TAB P10 TB-X705L;1;7000;0.44;1;8;null;null;3;3;null;null;10.янв;1;1;0;18690
Tablet Samsung  Galaxy TAB A 10.1 2019;7;6150;0.469;1;8;null;null;5;2;null;null;10.янв;1;1;5;16490
Tablet Huawei  MediaPad M5 Lite 10;9;7500;0.475;1;8;null;null;4;3;null;null;10.янв;1;1;1, 8;20590
Tablet Dell Latitude 7200;5;5250;0.851;1;8;null;null;1;16;null;null;12.мар;1;1;1, 8;125290
Tablet Apple  iPad 10.2;8;8827;0.483;1;8;null;null;6;3;null;null;10.фев;0;1;1, 5, 6, 7, 8;26490
Tablet Samsung  Galaxy TAB A 8.0 2019;7;5100;0.345;1;8;null;null;5;2;null;null;8;0;1;1, 8;9990
